name,start,end,category
Linear Perspective,1420,1520,Renaissance
Sfumato,1470,1550,Renaissance
Oil Glazing,1400,1600,Renaissance
Chiaroscuro,1500,1650,Baroque
Tenebrism,1590,1650,Baroque
Impasto,1600,1900,Baroque
Alla Prima,1830,1900,Impressionist
Broken Color,1860,1890,Impressionist
Optical Mixing,1870,1900,Impressionist
Pointillism,1884,1900,Post-Impressionist
Divisionism,1885,1910,Post-Impressionist
Expressive Brushwork,1888,1910,Post-Impressionist
Flattened Perspective,1900,1920,Modern
Collage/Papier Collé,1912,1930,Modern
Automatism,1924,1950,Modern
Action Painting,1940,1960,Contemporary
Color Field,1945,1970,Contemporary
Mixed Media,1960,2024,Contemporary
